City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
375,Moultrie,US,77.07,clear sky,31.1799,-83.7891,Moultrie Inn
376,Anito,PH,87.53,overcast clouds,12.4497,125.2886,El Felix Cottages
381,Ayagoz,KZ,76.87,few clouds,47.9714,80.4392,ХАН
387,Huadian,CN,78.3,overcast clouds,42.9633,126.7478,Huadian Forestry Bureau
392,Zharkent,KZ,88.52,clear sky,44.1628,80.0,гостиница Satti
398,Acapulco,MX,80.73,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
400,Norman Wells,CA,80.64,broken clouds,65.282,-126.8329,Heritage Hotel
401,Hoa Binh,VN,87.96,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
405,Son La,VN,80.33,broken clouds,21.3167,103.9,Galaxy Grand Hotel
407,Nong Phai,TH,77.59,overcast clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
413,Meadow Lake,US,81.84,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
414,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
420,Mecca,SA,84.87,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
422,Puerto Escondido,MX,81.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
423,Natchez,US,79.02,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
425,Ugoofaaru,MV,82.02,overcast clouds,5.6667,73.0,Ungoofaaru Inn
427,Atar,MR,86.13,light rain,20.5169,-13.0499,Oumou Elghoura
