City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
116,Flinders,-34.5833,150.8552,66.06,72,77,3.0,broken clouds,AU,2022-07-23 02:43:07
117,Curup,-3.4667,102.5333,80.8,62,57,3.6,broken clouds,ID,2022-07-23 02:43:08
118,Gushikawa,26.3544,127.8686,89.19,79,20,16.11,few clouds,JP,2022-07-23 02:43:08
119,Davila,18.4726,120.5763,87.78,70,7,3.58,clear sky,PH,2022-07-23 02:43:09
120,Clyde River,70.4692,-68.5914,48.43,76,40,6.91,scattered clouds,CA,2022-07-23 02:43:09
121,Lazarev,52.225,141.5131,56.77,82,100,11.59,overcast clouds,RU,2022-07-23 02:43:10
122,Los Algarrobos,8.5,-82.4333,72.01,100,40,1.14,thunderstorm with drizzle,PA,2022-07-23 02:43:10
123,Hovd,48.0056,91.6419,70.86,33,67,9.42,broken clouds,MN,2022-07-23 02:38:12
124,Naze,28.3667,129.4833,86.92,63,97,2.95,overcast clouds,JP,2022-07-23 02:43:11
125,Husavik,66.0449,-17.3389,46.85,93,25,2.66,scattered clouds,IS,2022-07-23 02:43:11
126,Suarez,2.954,-76.6964,67.66,97,100,1.95,overcast clouds,CO,2022-07-23 02:43:12
127,Kenora,49.8167,-94.4337,68.97,60,40,6.91,scattered clouds,CA,2022-07-23 02:43:12
128,Sabang,5.8933,95.3214,81.84,72,100,1.07,light rain,ID,2022-07-23 02:42:15
129,Ahipara,-35.1667,173.1667,57.83,66,100,13.22,overcast clouds,NZ,2022-07-23 02:42:12
130,Otane,-39.8833,176.6333,49.01,69,95,5.5,overcast clouds,NZ,2022-07-23 02:43:13
131,Hauterive,46.0901,3.4459,74.16,89,100,0.74,overcast clouds,FR,2022-07-23 02:43:13
132,Thompson,55.7435,-97.8558,57.36,82,100,6.91,overcast clouds,CA,2022-07-23 02:40:44
133,Kstovo,56.1473,44.1979,59.4,76,71,2.26,broken clouds,RU,2022-07-23 02:43:14
134,Puerto Ayora,-0.7393,-90.3518,69.55,91,13,4.0,few clouds,EC,2022-07-23 02:43:14
135,Salcioara,44.7167,25.5833,71.28,43,0,6.87,clear sky,RO,2022-07-23 02:43:15
136,Jalu,29.0331,21.5482,74.62,45,0,9.28,clear sky,LY,2022-07-23 02:44:15
137,Kodiak,57.79,-152.4072,54.91,71,0,10.36,clear sky,US,2022-07-23 02:44:15
138,Lewistown,40.5992,-77.5714,80.01,86,0,5.75,clear sky,US,2022-07-23 02:44:16
139,Bethanien,-26.502,17.1583,55.08,35,63,2.89,broken clouds,NA,2022-07-23 02:44:16
140,East London,-33.0153,27.9116,62.89,68,100,10.2,overcast clouds,ZA,2022-07-23 02:44:17
141,Orbetello,42.4408,11.2196,77.0,44,0,6.91,clear sky,IT,2022-07-23 02:44:17
142,Okha,53.5739,142.9478,63.1,59,92,9.6,overcast clouds,RU,2022-07-23 02:44:18
143,Port Elizabeth,-33.918,25.5701,57.49,88,0,9.22,clear sky,ZA,2022-07-23 02:44:18
144,Matara,5.9485,80.5353,80.13,85,61,14.16,broken clouds,LK,2022-07-23 02:44:18
145,Cape Town,-33.9258,18.4232,54.88,91,40,3.0,light rain,ZA,2022-07-23 02:44:19
